ScientificName,State,County,Town,Locality,Latitude,Longitude,Elevation,GPSOrMap,Date,HabitatType,Abundance,Distribution,PercentageCover,EvidenceOfReproduction,Reporter
Frangula alnus,CT,Windham,Hampton,Natchaug State Forest South end of Hampton Reservoir just West of open area at parking area off Kenyon Road,41.8233,-72.05915,590,GPS,7/15/2002,Terrestrial,Less than 20,No Invasives,Less than 1%,Yes,Diane Dorfer
Frangula alnus,CT,Windham,Hampton,Natchaug State Forest; open area on West side of Hampton Reservoir,41.8254,-72.06255,590,GPS,7/15/2002,Terrestrial,20-99,No Invasives,1-5%,Yes,Diane Dorfer
Frangula alnus,MA,Berkshire,Adams,West Mountain Road end of road,42.61103,-73.15637,1560,Map,5/24/2009,Terrestrial,Less than 20,Single Patch,Less than 1%,Yes,Herbert Petschelt
Frangula alnus,MA,Berkshire,Adams,West Mountain Road end of road,42.61122,-73.15512,1550,Map,5/24/2009,Terrestrial,Less than 20,Multiple Patches,1-5%,Yes,Herbert Petschelt
Frangula alnus,MA,Berkshire,Great Barrington,Housatonic River,42.15881,-73.36581,676,GPS,5/29/2004,Terrestrial,20-99,Multiple Patches,Less than 1%,Yes,Timothy Tinman
Frangula alnus,MA,Berkshire,Hinsdale,Hinsdale County Coop Corporation. Eastern Fen,42.45572,-73.11939,1532,GPS,6/27/2004,Terrestrial,20-99,Multiple Patches,1-5%,Yes,Timothy Tinman
Frangula alnus,MA,Bristol,Abington,Site is at southern tip of Cleveland Pond approximately 50 feet west of Beaver Brook and on the dam embankment facing SE.,42.11423,-70.97927,142,GPS,5/8/2007,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,No,Harold Frost
Frangula alnus,MA,Bristol,Abington,The plot is  about 100 yards WSW of the Ames Nowell State Park office on Linwood St.,42.11503,-70.97775,150,GPS,5/8/2007,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,No,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - 0.15 mi. south of Chestnut St. under powerlines,42.12645,-70.98465,150,GPS,6/7/2007,Terrestrial,20-99,Evenly Sparse,1-5%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - 40' south of Chestnut St. on powerline access road,42.128,-70.98517,155,GPS,6/7/2007,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - by footbridge on path south of restrooms,42.11678,-70.97637,155,GPS,6/12/2007,Terrestrial,Less than 20,Evenly Sparse,1-5%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - east edge of paved driveway,42.11902,-70.97595,170,GPS,5/16/2007,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - on Cleveland Pond dam embankment east of spillway,42.11465,-70.9783,148,GPS,8/16/2007,Terrestrial,Less than 20,Single Patch,1-5%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - on boardwalk across marsh between Cleveland Pond and powerlines,42.11682,-70.98445,163,GPS,8/16/2007,Terrestrial,Less than 20,Single Patch,1-5%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - woodland east of Cleveland Pond,42.11688,-70.97738,160,GPS,8/28/2007,Terrestrial,20-99,Single Patch,6-25%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park- s.e. shore of Cleveland Pond,42.11767,-70.97895,166,GPS,8/28/2007,Terrestrial,Less than 20,Evenly Sparse,1-5%,No,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - south edge of marsh between Cleveland Pond and powerlines,42.11605,-70.98447,166,GPS,8/28/2007,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - under powerlines near trail,42.11613,-70.9856,153,GPS,8/28/2007,Terrestrial,Less than 20,Single Patch,1-5%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Abington,Ames Nowell State Park - on ledge at s.w. edge of of Cleveland Pond,42.11473,-70.97977,184,GPS,8/16/2007,Terrestrial,Single Plant,Single Plant,Less than 1%,No,Harold Frost
Frangula alnus,MA,Bristol,Easton,Pond Walk Borderlands State Park,42.0612,-71.1555,207,Map,10/9/2006,Terrestrial,Less than 20,Single Patch,1-5%,Yes,Matt Vadeboncoeur
Frangula alnus,MA,Bristol,Easton,Monte's Pond - east edge of pond,42.07698,-71.0792,182,GPS,9/1/2008,Terrestrial,Single Plant,Single Plant,Less than 1%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Easton,NRT's Sheep Pasture - W of Queset Bk. near subdivision 1200' S of Main St.,42.06288,-71.09537,150,GPS,6/4/2009,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,No,Harold Frost
Frangula alnus,MA,Bristol,Easton,NRT's Sheep Pasture - meadow east of Queset Bk. 1500' S of Main St.,42.06237,-71.09198,122,GPS,6/4/2009,Terrestrial,Less than 20,Single Patch,Less than 1%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Easton,NRT's Sheep Pasture - outcrop amid circular driveway on Main St.,42.06567,-71.09238,180,GPS,6/6/2009,Terrestrial,Less than 20,Evenly Sparse,,Yes,Harold Frost
Frangula alnus,MA,Bristol,Easton,NRT's Sheep Pasture - E edge of marsh 2000' S of Main St.,42.06143,-71.0905,135,GPS,6/4/2009,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Easton,NRT's Sheep Pasture - E edge of marsh 2000' S of Main St.,42.06143,-71.0905,135,GPS,6/4/2009,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Easton,NRT's Sheep Pasture - E edge of marsh 2000' S of Main St.,42.06143,-71.0905,135,GPS,6/4/2009,Terrestrial,Less than 20,Multiple Patches,6-25%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Easton,NRT's Sheep Pasture - forest W of Queset Bk. 1500' S of Main St.,42.06035,-71.09437,128,GPS,6/4/2009,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Easton,NRT's Sheep Pasture - 450' S. of Main St. near E. bank of Queset Bk.,42.06365,-71.09278,100,GPS,8/9/2009,Terrestrial,Less than 20,Evenly Sparse,1-5%,Yes,Harold Frost
Frangula alnus,MA,Bristol,Easton,NRT's Sheep Pasture - 600' S. of Main St. & 150' W. of Rte. 138,42.06163,-71.08863,125,GPS,8/9/2009,Terrestrial,Single Plant,Single Plant,Less than 1%,No,Harold Frost
Frangula alnus,MA,Bristol,Mansfield,Canoe River floodplain,42.01803,-71.19097,120,GPS,9/2/2006,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Matt Vadeboncoeur
Frangula alnus,MA,Bristol,Mansfield,on trail off Ware St.,42.01755,-71.19337,120,GPS,9/2/2006,Terrestrial,Less than 20,Evenly Sparse,Less than 1%,Yes,Matt Vadeboncoeur
Frangula alnus,MA,Bristol,Mansfield,Mill St. Bridge,42.02021,-71.18034,110,Map,7/24/2007,Terrestrial,Less than 20,Single Patch,Less than 1%,No,Matt Vadeboncoeur
