"PLANT_CODE","LONGITUDE_DECIMAL","LATITUDE_DECIMAL"
"FRAL4",-86.10526,37.06221
"FRAL4",-71.00698,42.46828
"FRAL4",-71.00711,42.46836
"FRAL4",-71.00677,42.46733
"FRAL4",-73.41861,42.14571
"FRAL4",-71.00694,42.46812
"FRAL4",-71.00699,42.46823
"FRAL4",-71.29954,42.45179
"FRAL4",-71.29993,42.4519
"FRAL4",-73.41665,42.14609
"FRAL4",-73.22139,42.25192
"FRAL4",-73.41694,42.14602
"FRAL4",-73.42131,42.14512
"FRAL4",-71.00693,42.46862
"FRAL4",-71.29904,42.45197
"FRAL4",-71.00697,42.46884
"FRAL4",-73.41883,42.14566
"FRAL4",-73.4202,42.14532
"FRAL4",-73.41842,42.14581
"FRAL4",-73.41752,42.14589
"FRAL4",-73.41775,42.14584
"FRAL4",-73.41727,42.14595
"FRAL4",-71.27214,42.45083
"FRAL4",-73.41949,42.14542
"FRAL4",-73.41914,42.14556
"FRAL4",-73.41983,42.14537
"FRAL4",-73.42066,42.14524
"FRAL4",-73.41808,42.14579
"FRAL4",-71.00703,42.4688
"FRAL4",-71.30033,42.45175
"FRAL4",-71.29963,42.45194
"FRAL4",-71.29961,42.45192
"FRAL4",-71.29899,42.45194
"FRAL4",-71.299,42.45189
"FRAL4",-71.29992,42.4521
"FRAL4",-71.29982,42.45194
"FRAL4",-71.29969,42.45189
"FRAL4",-71.29966,42.45191
"FRAL4",-71.29976,42.45118
"FRAL4",-71.29968,42.45116
"FRAL4",-71.29945,42.45133
"FRAL4",-71.29937,42.45154
"FRAL4",-71.30029,42.45187
"FRAL4",-71.29989,42.45203
"FRAL4",-71.29954,42.45125
"FRAL4",-73.22104,42.25226
"FRAL4",-71.29982,42.45122
"FRAL4",-71.29968,42.45115
"FRAL4",-71.29968,42.45113
"FRAL4",-71.29963,42.45122
"FRAL4",-71.29933,42.45154
"FRAL4",-71.29977,42.45206
"FRAL4",-71.29973,42.45202
"FRAL4",-71.2996,42.45206
"FRAL4",-71.29914,42.45165
"FRAL4",-71.29954,42.45201
"FRAL4",-71.29928,42.45149
"FRAL4",-71.29985,42.45126
"FRAL4",-71.29978,42.45138
"FRAL4",-71.29976,42.45127
"FRAL4",-71.29974,42.45165
"FRAL4",-71.29974,42.45155
"FRAL4",-71.29972,42.4513
"FRAL4",-71.2998,42.45172
"FRAL4",-71.2998,42.45174
"FRAL4",-71.29978,42.45195
"FRAL4",-71.29978,42.45171
"FRAL4",-71.29977,42.45197
"FRAL4",-71.29977,42.45195
"FRAL4",-71.29977,42.45198
"FRAL4",-71.29977,42.4518
"FRAL4",-71.29977,42.45173
"FRAL4",-71.29976,42.45175
"FRAL4",-71.29976,42.45195
"FRAL4",-71.29975,42.45195
"FRAL4",-71.29974,42.45185
"FRAL4",-71.29972,42.45169
"FRAL4",-71.29971,42.45187
"FRAL4",-71.29971,42.45127
"FRAL4",-71.29971,42.45193
"FRAL4",-71.2997,42.45185
"FRAL4",-71.2997,42.45127
"FRAL4",-71.2997,42.45127
"FRAL4",-71.2997,42.45188
"FRAL4",-71.29969,42.45186
"FRAL4",-71.29969,42.45127
"FRAL4",-71.29969,42.45196
"FRAL4",-71.29969,42.45173
"FRAL4",-71.29969,42.45189
"FRAL4",-71.29967,42.45186
"FRAL4",-71.29967,42.45129
"FRAL4",-71.29967,42.45194
"FRAL4",-71.29967,42.45191
"FRAL4",-71.29965,42.45187
"FRAL4",-71.29965,42.45187
"FRAL4",-71.29964,42.4519
"FRAL4",-71.29963,42.45195
"FRAL4",-71.29962,42.45193
"FRAL4",-71.29975,42.45126
"FRAL4",-71.29974,42.45198
"FRAL4",-71.29973,42.45123
"FRAL4",-71.29972,42.45198
"FRAL4",-71.2997,42.45183
"FRAL4",-71.29968,42.45199
"FRAL4",-71.29966,42.45182
"FRAL4",-71.29966,42.45183
"FRAL4",-71.29965,42.45177
"FRAL4",-71.29963,42.45178
"FRAL4",-71.29962,42.45173
"FRAL4",-71.29978,42.45197
"FRAL4",-71.29972,42.45125
"FRAL4",-71.29968,42.45124
"FRAL4",-71.30007,42.452
"FRAL4",-71.29997,42.45127
"FRAL4",-71.29996,42.45125
"FRAL4",-73.42195,42.14501
"FRAL4",-74.89261,41.45811
"FRAL4",-74.89345,41.4588
"FRAL4",-73.89586,40.59786
"FRAL4",-96.0842,46.04294
"FRAL4",-95.27609,45.32248
"FRAL4",-94.95062,45.21142
"FRAL4",-94.36774,44.49832
"FRAL4",-94.32998,46.28423
"FRAL4",-94.17287,44.04937
"FRAL4",-94.14664,45.87256
"FRAL4",-94.14179,44.70266
"FRAL4",-94.13648,44.70275
"FRAL4",-94.13581,44.69706
"FRAL4",-94.13456,44.69801
"FRAL4",-94.13037,44.6957
"FRAL4",-93.9409,45.30547
"FRAL4",-93.79868,44.66294
"FRAL4",-93.6016,45.86447
"FRAL4",-93.57683,45.9374
"FRAL4",-93.56789,45.00249
"FRAL4",-93.56357,45.0015
"FRAL4",-92.8726,45.70263
"FRAL4",-92.83662,45.55533
"FRAL4",-92.83396,46.1918
"FRAL4",-92.83069,46.185
"FRAL4",-92.75323,46.44657
"FRAL4",-92.74559,46.4474
"FRAL4",-92.65733,45.39883
"FRAL4",-92.56605,44.53308
"FRAL4",-92.06502,44.04971
"FRAL4",-92.04157,44.05393
"FRAL4",-85.54439,44.74055
"FRAL4",-85.54165,44.73996
"FRAL4",-72.63347,42.23938
"FRAL4",-96.60736,45.76253
"FRAL4",-96.30892,46.96807
"FRAL4",-96.07273,45.20098
"FRAL4",-95.71199,45.60504
"FRAL4",-94.41087,44.89841
"FRAL4",-94.13058,44.69595
"FRAL4",-93.99263,44.67202
"FRAL4",-93.91146,44.95712
"FRAL4",-93.81168,44.20667
"FRAL4",-93.56538,45.00279
"FRAL4",-92.89795,45.69598
"FRAL4",-92.89085,45.673
"FRAL4",-92.88863,45.67666
"FRAL4",-92.87301,45.09791
"FRAL4",-92.84467,46.18697
"FRAL4",-92.84147,45.07039
"FRAL4",-92.83108,46.17977
"FRAL4",-92.8299,46.19186
"FRAL4",-92.82704,46.18709
"FRAL4",-92.82621,46.16466
"FRAL4",-92.82593,44.79921
"FRAL4",-92.76548,45.22503
"FRAL4",-92.74924,46.44583
"FRAL4",-92.74854,46.44667
"FRAL4",-92.73552,45.51442
"FRAL4",-96.08904,46.29901
"FRAL4",-96.087,46.05042
"FRAL4",-96.0296,46.14078
"FRAL4",-95.14473,45.85658
"FRAL4",-92.89703,45.66567
"FRAL4",-92.89222,45.69118
"FRAL4",-92.88908,45.66584
"FRAL4",-92.88172,45.67665
"FRAL4",-92.8642,46.14198
"FRAL4",-92.60673,45.94645
"FRAL4",-71.36534,42.59222
"FRAL4",-96.30123,47.46217
"FRAL4",-95.87414,45.64339
"FRAL4",-95.13537,45.85124
"FRAL4",-94.45044,44.74927
"FRAL4",-94.4128,44.89807
"FRAL4",-94.40915,44.89581
"FRAL4",-94.36843,44.49887
"FRAL4",-94.36622,44.67941
"FRAL4",-94.34292,44.57181
"FRAL4",-94.34091,46.28254
"FRAL4",-94.33602,44.56985
"FRAL4",-94.33458,44.57243
"FRAL4",-94.33455,44.57341
"FRAL4",-94.33449,44.57307
"FRAL4",-94.33442,44.57219
"FRAL4",-94.33432,44.57256
"FRAL4",-94.33429,44.5737
"FRAL4",-94.33388,44.57399
"FRAL4",-94.33342,44.57393
"FRAL4",-94.33333,44.57366
"FRAL4",-94.33333,44.57287
"FRAL4",-94.33295,44.57273
"FRAL4",-94.3327,44.57274
"FRAL4",-94.33017,44.57118
"FRAL4",-94.32907,44.57085
"FRAL4",-94.32429,44.57885
"FRAL4",-94.3242,44.57855
"FRAL4",-94.25732,44.87889
"FRAL4",-94.19045,44.45706
"FRAL4",-94.1904,44.45709
"FRAL4",-94.19002,44.4563
"FRAL4",-94.18882,44.45608
"FRAL4",-94.18782,44.45554
"FRAL4",-94.18643,44.4551
"FRAL4",-94.18627,44.45558
"FRAL4",-94.18626,44.45494
"FRAL4",-94.18609,44.45518
"FRAL4",-94.18587,44.45524
"FRAL4",-94.14253,44.70246
"FRAL4",-94.14012,44.7028
"FRAL4",-94.13137,44.13112
"FRAL4",-94.12642,44.67575
"FRAL4",-94.12378,44.6759
"FRAL4",-94.12316,44.6752
"FRAL4",-94.12126,44.67568
"FRAL4",-94.10788,44.86005
"FRAL4",-94.07741,44.62042
"FRAL4",-94.07729,44.62012
"FRAL4",-94.07637,44.62031
"FRAL4",-94.07607,44.62018
"FRAL4",-94.06521,43.8379
"FRAL4",-94.02793,44.51837
"FRAL4",-94.02327,44.30782
"FRAL4",-93.99298,44.67292
"FRAL4",-93.93928,44.56285
"FRAL4",-93.93548,44.5577
"FRAL4",-93.79868,44.66386
"FRAL4",-93.79806,44.6629
"FRAL4",-93.69542,45.42461
"FRAL4",-93.56874,45.00297
"FRAL4",-93.51774,45.86126
"FRAL4",-93.48145,46.1415
"FRAL4",-92.85421,46.15621
"FRAL4",-92.83388,46.18025
"FRAL4",-92.83252,46.2187
"FRAL4",-92.7507,46.44675
"FRAL4",-92.74867,46.4456
"FRAL4",-92.74501,46.44805
"FRAL4",-92.73756,45.53057
"FRAL4",-92.73497,45.53476
"FRAL4",-92.73287,46.44094
"FRAL4",-92.65091,45.93916
"FRAL4",-92.64473,45.94635
"FRAL4",-92.63506,45.9988
"FRAL4",-92.55198,44.51462
"FRAL4",-92.54932,44.52038
"FRAL4",-92.547,44.51853
"FRAL4",-92.52446,44.51971
"FRAL4",-92.49811,47.4779
"FRAL4",-92.38982,44.53453
"FRAL4",-92.37478,44.53542
"FRAL4",-92.37085,44.53543
"FRAL4",-92.24102,47.81739
"FRAL4",-92.2407,47.81743
"FRAL4",-92.24024,47.81703
"FRAL4",-92.23879,47.81704
"FRAL4",-92.05574,44.05947
"FRAL4",-92.05021,44.04531
"FRAL4",-92.04749,44.04738
"FRAL4",-92.04671,44.05373
"FRAL4",-92.04358,44.05446
"FRAL4",-92.04337,44.05439
"FRAL4",-92.04331,44.05163
"FRAL4",-91.8234,43.6365
"FRAL4",-91.62472,43.7427
"FRAL4",-91.41459,47.18776
"FRAL4",-91.21406,47.35904
"FRAL4",-96.36346,43.90064
"FRAL4",-95.91927,46.09062
"FRAL4",-95.64815,46.34061
"FRAL4",-94.72893,46.18828
"FRAL4",-94.67031,46.2803
"FRAL4",-94.66987,46.27583
"FRAL4",-94.66986,46.27626
"FRAL4",-94.62885,46.03522
"FRAL4",-94.36832,44.49915
"FRAL4",-94.19544,44.21813
"FRAL4",-94.19087,44.45675
"FRAL4",-94.19032,44.45712
"FRAL4",-94.19002,44.45648
"FRAL4",-94.18817,44.45612
"FRAL4",-94.18758,44.45574
"FRAL4",-94.18642,44.45512
"FRAL4",-94.13771,44.69732
"FRAL4",-94.13314,44.7029
"FRAL4",-94.12608,44.67594
"FRAL4",-94.11041,44.95208
"FRAL4",-94.07609,44.61909
"FRAL4",-94.02341,44.31166
"FRAL4",-93.9928,44.67248
"FRAL4",-93.93678,45.31812
"FRAL4",-93.93227,45.31748
"FRAL4",-93.88426,44.95677
"FRAL4",-93.79776,44.66387
"FRAL4",-93.79737,44.66293
"FRAL4",-93.68919,45.43308
"FRAL4",-93.60615,47.65345
"FRAL4",-93.57094,45.0012
"FRAL4",-93.56911,45.0018
"FRAL4",-93.56878,45.00171
"FRAL4",-93.23412,45.55608
"FRAL4",-92.87657,45.09491
"FRAL4",-92.83227,46.18405
"FRAL4",-92.80223,44.73768
"FRAL4",-92.70835,45.90298
"FRAL4",-92.6597,45.39652
"FRAL4",-92.65955,45.39643
"FRAL4",-92.65885,45.40173
"FRAL4",-92.54788,44.50562
"FRAL4",-92.5266,44.51924
"FRAL4",-92.5202,47.47012
"FRAL4",-92.51812,47.47112
"FRAL4",-92.24253,47.81709
"FRAL4",-92.05734,44.04505
"FRAL4",-92.05173,44.04781
"FRAL4",-92.03979,44.06405
"FRAL4",-92.01222,44.23152
"FRAL4",-91.94258,44.15737
"FRAL4",-91.2279,47.37267
"FRAL4",-91.22782,47.37264
"FRAL4",-70.27622,43.73731
"FRAL4",-70.27613,43.73727
"FRAL4",-70.27603,43.73729
"FRAL4",-71.889,43.84354
"FRAL4",-71.88853,43.84199
"FRAL4",-71.88835,43.84155
"FRAL4",-71.78747,44.14108
"FRAL4",-71.42622,44.01287
"FRAL4",-71.26043,44.07719
"FRAL4",-71.26035,44.07844
"FRAL4",-71.22751,44.18488
"FRAL4",-71.22665,44.18493
"FRAL4",-71.22623,44.17989
"FRAL4",-71.22349,44.17522
"FRAL4",-71.18697,44.14703
"FRAL4",-71.18115,44.14677
"FRAL4",-71.17887,44.1482
"FRAL4",-71.17625,44.15129
"FRAL4",-71.17564,44.14996
"FRAL4",-71.15898,44.14285
"FRAL4",-71.15842,44.14004
"FRAL4",-71.15599,44.13844
"FRAL4",-71.15021,44.10225
"FRAL4",-71.12458,44.1803
"FRAL4",-71.12197,44.12751
"FRAL4",-71.10204,44.1575
"FRAL4",-71.13196,43.98126
"FRAL4",-71.83217,43.96589
"FRAL4",-72.21277,43.70371
"FRAL4",-72.24355,43.7025
"FRAL4",-72.2266,43.70493
"FRAL4",-71.22898,44.18077
"FRAL4",-71.7993,42.0043
"FRAL4",-71.7957,41.9968
"FRAL4",-71.7957,41.9938
"FRAL4",-71.7956,41.9964
"FRAL4",-71.7954,41.988
"FRAL4",-71.7951,41.9312
"FRAL4",-71.7947,41.9889
"FRAL4",-71.7942,41.9869
"FRAL4",-71.7939,41.9886
"FRAL4",-71.7931,42.0001
"FRAL4",-71.7929,41.9204
"FRAL4",-71.7899,41.9853
"FRAL4",-71.7894,41.9859
"FRAL4",-71.7893,41.986
"FRAL4",-71.7893,41.9856
"FRAL4",-71.7891,41.9864
"FRAL4",-71.789,42.004
"FRAL4",-71.7888,42.0042
"FRAL4",-71.788,41.9884
"FRAL4",-71.7875,41.9903
"FRAL4",-71.7874,41.9187
"FRAL4",-71.7874,41.925
"FRAL4",-71.7868,41.9917
"FRAL4",-71.7807,42.0036
"FRAL4",-71.7687,41.9932
"FRAL4",-71.7654,41.9933
"FRAL4",-71.7652,41.9933
"FRAL4",-71.7647,41.9932
"FRAL4",-71.7645,41.9931
"FRAL4",-71.7629,41.9936
"FRAL4",-71.7626,41.9938
"FRAL4",-71.7625,41.9939
"FRAL4",-71.7621,41.9941
"FRAL4",-71.7436,41.646
"FRAL4",-71.7192,41.8975
"FRAL4",-71.716,41.8964
"FRAL4",-71.699,41.7108
"FRAL4",-71.699,41.7119
"FRAL4",-71.6989,41.7119
